seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
1,97,0,0.08597087860107422,"[1.130089282989502, 1.1208398342132568, 0.9288682341575623]","[False, False, False]",False,False,False
1,98,3,0.18813419342041016,"[1.1331522464752197, 1.0986404418945312, 1.2317237854003906]","[True, False, False]",False,False,True
1,99,3,0.19734859466552734,"[1.2878657579421997, 1.4112409353256226, 0.969977080821991]","[True, False, False]",False,False,False
2,0,3,0.013608932495117188,"[1.0051578283309937, 0.9429270625114441, 1.4423582553863525]","[False, True, True]",True,True,False
2,1,0,0.030614852905273438,"[1.0412282943725586, 0.9833627343177795, 1.170326828956604]","[False, False, False]",False,False,False
2,2,0,0.16061115264892578,"[1.601982831954956, 0.9058811068534851, 1.125474214553833]","[False, False, False]",False,False,False
2,3,0,0.7565765380859375,"[1.7037692070007324, 0.6060139536857605, 1.6337271928787231]","[False, False, False]",False,False,False
2,4,0,0.17191600799560547,"[1.2322334051132202, 0.9604309797286987, 1.0470597743988037]","[False, False, False]",False,False,False
2,5,3,0.8396768569946289,"[1.2741022109985352, 0.9049386382102966, 1.0424686670303345]","[True, True, False]",True,True,True
2,6,0,0.2683582305908203,"[1.0999317169189453, 1.0079329013824463, 0.9432293772697449]","[False, False, False]",False,False,False
2,7,0,0.1259918212890625,"[1.0333552360534668, 1.1248588562011719, 1.2143712043762207]","[False, False, False]",False,False,False
2,8,0,0.09327316284179688,"[1.1576546430587769, 0.958665132522583, 1.0911486148834229]","[False, False, False]",False,False,False
2,9,0,0.3324432373046875,"[0.13829544186592102, 0.9755625128746033, 0.050826579332351685]","[False, False, False]",False,False,False
2,10,0,0.2683582305908203,"[1.0079329013824463, 1.0999317169189453, 0.9432293772697449]","[False, False, False]",False,False,False
2,11,0,1.3764915466308594,"[1.2266861200332642, 0.8619236946105957, 1.7192108631134033]","[False, False, False]",False,False,False
2,12,0,0.1526050567626953,"[1.5086208581924438, 1.141358494758606, 0.6529564261436462]","[False, False, False]",False,False,False
2,13,0,0.07324981689453125,"[0.9724528193473816, 0.6746582388877869, 0.5447219610214233]","[False, False, False]",False,False,False
2,14,3,0.071563720703125,"[1.2297139167785645, 1.4167624711990356, 1.1794627904891968]","[True, True, False]",True,False,True
2,15,0,0.17424488067626953,"[1.0529474020004272, 0.6995391249656677, 1.1003116369247437]","[False, False, False]",False,False,False
2,16,1,0.43134498596191406,"[6.606170177459717, 4.938449382781982, 7.014168739318848]","[True, True, True]",True,True,True
2,17,0,1.0857114791870117,"[0.8106546998023987, 0.8499910235404968, 1.7963504791259766]","[False, False, False]",False,False,False
2,18,3,0.8929500579833984,"[0.7654622197151184, 0.7272235751152039, 1.2971423864364624]","[False, False, True]",True,False,False
2,19,3,1.1282377243041992,"[1.0662504434585571, 0.7685168981552124, 1.6013234853744507]","[False, False, False]",False,False,False
2,20,3,1.2185163497924805,"[0.620635986328125, 0.8851801156997681, 1.5458250045776367]","[False, False, True]",True,False,True
2,21,0,0.09279727935791016,"[1.0282303094863892, 1.0556533336639404, 1.2682552337646484]","[False, False, False]",False,False,False
2,22,0,0.13012123107910156,"[1.8065533638000488, 1.2404152154922485, 0.9566205739974976]","[False, False, False]",False,False,False
2,23,3,0.07953453063964844,"[1.4715849161148071, 0.9213960766792297, 0.9782994389533997]","[True, True, False]",True,True,True
2,24,0,1.1239633560180664,"[1.6944743394851685, 0.8573615550994873, 0.8671247959136963]","[False, False, False]",False,False,False
2,25,0,0.7444972991943359,"[0.95106440782547, 0.9919729828834534, 1.9474037885665894]","[False, False, False]",False,False,False
2,26,3,0.8623170852661133,"[0.6728673577308655, 0.8073037266731262, 1.5526134967803955]","[False, False, True]",True,False,False
